Entity,Code,Year,Population
South Asia,,2020,48.37477875
South Korea,KOR,2020,49.93902206
South Sudan,SSD,2020,49.94506454
Spain,ESP,2020,50.85350418
Sri Lanka,LKA,2020,52.05141068
Sub-Saharan Africa,,2020,50.09267044
Sudan,SDN,2020,50.03954315
Suriname,SUR,2020,49.74345016
Sweden,SWE,2020,49.90779495
Switzerland,CHE,2020,50.38893509
Syria,SYR,2020,49.94436646
Tajikistan,TJK,2020,49.61293411
Tanzania,TZA,2020,50.02678299
Thailand,THA,2020,51.33800888
Timor,TLS,2020,49.46747589
Togo,TGO,2020,50.24115372
Tonga,TON,2020,49.94749069
Trinidad and Tobago,TTO,2020,50.62869263
Tunisia,TUN,2020,50.41085052
Turkey,TUR,2020,50.63245773
Turkmenistan,TKM,2020,50.76740265
Uganda,UGA,2020,50.70814133
Ukraine,UKR,2020,53.66703415
United Arab Emirates,ARE,2020,30.87894249
United Kingdom,GBR,2020,50.59008789
United States,USA,2020,50.51821518
United States Virgin Islands,VIR,2020,52.49992752
Upper middle income,,2020,49.75534821
Uruguay,URY,2020,51.68486023
Uzbekistan,UZB,2020,50.11258698
Vanuatu,VUT,2020,49.31141281
Venezuela,VEN,2020,50.81952286
Vietnam,VNM,2020,50.07297897
World,OWID_WRL,2020,49.58375931
Yemen,YEM,2020,49.62448502
Zambia,ZMB,2020,50.48396683
Zimbabwe,ZWE,2020,52.28389359
